sample	GCA_011800805.1_ASM1180080v1_genomic	leech_0.001_1	leech_0.001_2	leech_0.001_4	leech_0.001_8	leech_0.003_1	leech_0.003_2	leech_0.003_4	leech_0.003_8	leech_0.005_1	leech_0.005_2	leech_0.005_4	leech_0.005_8	leech_0.007_1	leech_0.007_2	leech_0.007_4	leech_0.007_8	leech_0.01_1	leech_0.01_2	leech_0.01_4	leech_0.01_8	leech_0.1_1	leech_0.1_2	leech_0.1_4	leech_0.1_8	leech_0.2_1	leech_0.2_2	leech_0.2_4	leech_0.2_8	leech_genome_1	leech_genome_2	leech_genome_4	leech_genome_8
GCA_011800805.1_ASM1180080v1_genomic	0.0	0.0009960247454956495	0.0009997298301445134	0.0011007511497634903	0.0011515503193688659	0.0026836814025511524	0.0030233098955109172	0.0030087153238526065	0.0031177333758651837	0.004844177812138417	0.004913043506587722	0.00513568560282518	0.005174335980459466	0.0067106627624428095	0.006947416839637843	0.00702864871157427	0.007099303407923974	0.009666428199654797	0.009841632800928646	0.010116223117780154	0.010144232073159176	0.09826747151096527	0.09819642444913301	0.09762204179196321	0.09851206747868513	0.19221466137787147	0.19636159132721198	0.19551743451701897	0.19556249582761354	0	2.3116205313034044e-05	9.290858351196363e-05	0.00012223150710033437
leech_0.001_1	0.0009960247454956495	0.0	0	0	0.0001413434210860709	0.003672523894167279	0.003951428209768015	0.0038376303885423457	0.00413192858632716	0.005692647534653816	0.005859451314736863	0.006048554551276286	0.006223404344892103	0.007287846579492108	0.007784181851268612	0.007907842985850788	0.008084169192605573	0.010472348309731427	0.010537733684355843	0.010670233405125296	0.010911107780946394	0.09760996865200633	0.09777086213850361	0.09799144599122922	0.0986641986764969	0.18953780848535062	0.19335027316985676	0.18981494778650498	0.19222231827260783	0.0008017719506417942	0.0008727409662997454	0.001002079472053885	0.0011926845831495836
leech_0.001_2	0.0009997298301445134	0	0.0	0	2.7883052894139837e-05	0.0037194815273661197	0.003834775187068873	0.0037640447453148873	0.004023125058604915	0.0057166730814854905	0.005660493875793815	0.005813246152224227	0.006033136941381856	0.007453821894555235	0.007661291708072504	0.007647499989785311	0.007860952187013992	0.010538463083958893	0.010582624934519225	0.01068249361147211	0.010983597589505512	0.09735936733349293	0.09703550530451566	0.09676987489458644	0.09770570016175073	0.18565112255598093	0.19027208850664212	0.18921884510617104	0.1900895790843019	0.0007900321897805762	0.0009280501997074309	0.0009084738875902998	0.0010291105853319493
leech_0.001_4	0.0011007511497634903	0	0	0.0	2.943276121913918e-05	0.003674536674791673	0.003815408406161347	0.003745012957146243	0.004012336611779355	0.0056553089269437695	0.00572115960464159	0.00583131016115046	0.006063421142377123	0.007609136378620818	0.007711424866912453	0.007739651423213534	0.00793702414295172	0.01045691728666398	0.01059398244260501	0.010676806525105609	0.010968579322854999	0.09795087007857572	0.0975131752202032	0.096651591143193	0.09791295777111708	0.18797562357384023	0.18967095613806972	0.19014787175625136	0.1902393862812276	0.0007549358611744772	0.0009203995417917943	0.0008834044874324043	0.0010288854787841029
leech_0.001_8	0.0011515503193688659	0.0001413434210860709	2.7883052894139837e-05	2.943276121913918e-05	0.0	0.003868720880086385	0.00402560457754908	0.0039432075411010015	0.00419523581969139	0.00599810670124179	0.005940642397932239	0.006134744319781116	0.006237605176356187	0.007866086540857298	0.008001514062151105	0.007966430870388064	0.008145452820294774	0.010781404392554927	0.01084155186456015	0.01100820797263835	0.011151872798288998	0.09882736854380059	0.0985005026163317	0.09801823998979253	0.09907481204336421	0.1914249668861845	0.19426751902495365	0.1928661719311452	0.19348721961389215	0.0010137444790827566	0.0010884271811300028	0.001058061739965921	0.0012093405600120954
leech_0.003_1	0.0026836814025511524	0.003672523894167279	0.0037194815273661197	0.003674536674791673	0.003868720880086385	0.0	0	0	3.321423325342021e-05	0.007101679873112499	0.0073385709323566806	0.007480505877983434	0.007750333081632976	0.009135782139469195	0.009450770237868111	0.009606408890659779	0.009789862193045784	0.01200519166361147	0.012342296123953544	0.01251158972558808	0.01272470244583368	0.09709744973205758	0.0980908432698322	0.09819712663349445	0.09907073868246619	0.18864608474762756	0.19703139052991658	0.19483942726905368	0.19349089267687325	0.0025384324611987807	0.0027449968846857686	0.002667189410464177	0.002869378792561439
leech_0.003_2	0.0030233098955109172	0.003951428209768015	0.003834775187068873	0.003815408406161347	0.00402560457754908	0	0.0	0	0.00012497973608061042	0.007706076083364044	0.0077678811035053474	0.00774615489082342	0.008016129202576439	0.009487327110119681	0.009713707648715708	0.009619051584936256	0.009942944360928463	0.012316847096403793	0.012584936850077777	0.012636159011813253	0.012967802910357928	0.10006326182646441	0.09957527676138334	0.09947987887363319	0.10021476149723507	0.1884101566291645	0.1902695524763759	0.1880536806740699	0.19008705254922564	0.002664046767030026	0.0028503550685894385	0.0028389426253241368	0.0030639343383785933
leech_0.003_4	0.0030087153238526065	0.0038376303885423457	0.0037640447453148873	0.003745012957146243	0.0039432075411010015	0	0	0.0	0	0.007465508362365925	0.007532649356922105	0.00762198588754337	0.00788028531716034	0.00936092559991386	0.009489657260581374	0.009570241532048662	0.009824053614830741	0.012301705200401747	0.012445304711125038	0.012470191337156322	0.012822638654297114	0.09912553201238672	0.09853676872387485	0.09838519927392586	0.09935935333237988	0.18873439427118088	0.19093441281586032	0.1907530952474059	0.19122586702697497	0.0025190847103742087	0.0027371612054216676	0.0027242777697983334	0.0029249393514860778
leech_0.003_8	0.0031177333758651837	0.00413192858632716	0.004023125058604915	0.004012336611779355	0.00419523581969139	3.321423325342021e-05	0.00012497973608061042	0	0.0	0.00795911558939888	0.007930042147167193	0.008020467287143118	0.008184907562650556	0.00980609420041656	0.009959868125323568	0.009914976291758637	0.01011751398051064	0.012786286708620476	0.01286066906623573	0.013017080847825935	0.013164902367419962	0.10013326773814313	0.10015520565370817	0.09974410305631198	0.10054590978704037	0.19270568780205588	0.19484267360758556	0.19339222334381556	0.19522373857465558	0.0029517905652329812	0.003060360760576364	0.002992915539284824	0.0031738717525010562
leech_0.005_1	0.004844177812138417	0.005692647534653816	0.0057166730814854905	0.0056553089269437695	0.00599810670124179	0.007101679873112499	0.007706076083364044	0.007465508362365925	0.00795911558939888	0.0	0	0	2.837953959300421e-05	0.011362737075420126	0.011716518308790502	0.011507288064662946	0.011910700253075168	0.014146949418831878	0.014133139692392271	0.014355783733705052	0.014775686256373488	0.09982737440025968	0.10005878687640146	0.09858442444002591	0.10020965772739332	0.1932208315149868	0.1980354207232351	0.19675232172123414	0.19484795096190077	0.004480386954264226	0.004640627792693808	0.004688200127888287	0.005012459803515834
