sample	GCF_000350225.1_ASM35022v2_genomic	moss_0.001_1	moss_0.001_2	moss_0.001_4	moss_0.001_8	moss_0.003_1	moss_0.003_2	moss_0.003_4	moss_0.003_8	moss_0.005_1	moss_0.005_2	moss_0.005_4	moss_0.005_8	moss_0.007_1	moss_0.007_2	moss_0.007_4	moss_0.007_8	moss_0.01_1	moss_0.01_2	moss_0.01_4	moss_0.01_8	moss_0.1_1	moss_0.1_2	moss_0.1_4	moss_0.1_8	moss_0.2_1	moss_0.2_2	moss_0.2_4	moss_0.2_8	moss_genome_1	moss_genome_2	moss_genome_4	moss_genome_8
GCF_000350225.1_ASM35022v2_genomic	0.0	0.0011829405614794952	0.0009531451556206161	0.0008496020671067139	0.0019598108908034373	0.003056113849005171	0.0032683486841665887	0.0033187619467307528	0.004227619291997109	0.005117602742330751	0.005355816029888105	0.005789993566674534	0.00637716119153231	0.007129948964725408	0.007530887903018368	0.008024096707755168	0.008601537400218406	0.00977084595792621	0.010662973971598544	0.011293317431091299	0.011686623747589331	0.08956689634579951	0.09198947831682502	0.09367224817957998	0.09313921512048806	0.18413679549874185	0.18642404289379766	0.18949203364181066	0.1892213042011347	0.0002594904230261985	0	0	0.0007982030319738653
moss_0.001_1	0.0011829405614794952	0.0	0	0	0.0007432590567174602	0.0017145746200881717	0.0026675048124674694	0.002508586903703036	0.004888581325110053	0.0036677782922237556	0.004660029372459795	0.004983327826703188	0.006994872236313565	0.005334996630349642	0.0068568163384743475	0.007087608529098399	0.009054268712486935	0.007835707220007482	0.00966879981672819	0.010028971372730067	0.011777616736052376	0.08365242758031766	0.08587572601279958	0.08677520619626056	0.08701273306708679	0.17397182543772882	0.1763103384735344	0.1798720902345129	0.17965709453133272	0	0	0	0.0017173794236385875
moss_0.001_2	0.0009531451556206161	0	0.0	0	3.1100122112603934e-05	0.002330009329834959	0.0027282081380061163	0.002452252891525508	0.004277073687289912	0.004151816215191784	0.004546597943004604	0.004715907518201057	0.006278932984389196	0.006167675832656538	0.006527835115233804	0.006730268509713033	0.008315217505668882	0.008334448477521184	0.009311099121182775	0.009714101310984935	0.011061456990347551	0.08432730765112795	0.08619800036122283	0.08735036537865903	0.08763687537922116	0.17870304938072845	0.18011093739371442	0.18052674969813287	0.18298185807402212	0	0	0	0.0010970480485618106
moss_0.001_4	0.0008496020671067139	0	0	0.0	0	0.0019195163932380632	0.002120320469798598	0.002097281161208664	0.0034993884844807255	0.0037484492893786747	0.004027779154296973	0.004267938588051856	0.005488205578637384	0.0053784511397192425	0.005924117356446712	0.006269797205658012	0.007364985168917482	0.007775597648561838	0.008679269480650564	0.009224007738139473	0.010125489973521251	0.0825407532880913	0.0849450418669544	0.08594606051519316	0.0865102041243071	0.17932515139756033	0.175086709866335	0.17785001597277017	0.17888949808924104	0	0	0	0.0004336455631472891
moss_0.001_8	0.0019598108908034373	0.0007432590567174602	3.1100122112603934e-05	0	0.0	0.0046826761676114215	0.004469030893970882	0.003926839980920582	0.005652703852490726	0.006698311296311266	0.006450149293804719	0.006295533784379637	0.007738644793648053	0.008566536278166947	0.008529830807192273	0.00846175659138304	0.009847248334148628	0.011066600276003924	0.011519140960275953	0.011605796508260324	0.012864537622604977	0.08810850631274214	0.09012158961467864	0.0912055086490996	0.0913527329917847	0.18195226250989238	0.18332008063177296	0.18392922482265905	0.1871794447039692	0.0020058578048726128	0.0009506417204748763	0.00010661142996370998	0.0023510923635655656
moss_0.003_1	0.003056113849005171	0.0017145746200881717	0.002330009329834959	0.0019195163932380632	0.0046826761676114215	0.0	0	0	0.0005803879289977276	0.005630063088891246	0.006485289905867719	0.006496407381639702	0.00872417419864091	0.00720935086986263	0.008432673288318426	0.008688710583119374	0.010813327474392342	0.009619859686220922	0.011222642978903963	0.011491520237361219	0.01345377211637333	0.08343781563269936	0.08592740006973631	0.0869590504748251	0.08757631912899899	0.17744980343445727	0.1749348108700446	0.1803431930633873	0.18038845181415886	0.0007184112896676531	0.0011278404681199783	0.000530849420096402	0.0035805379379374447
moss_0.003_2	0.0032683486841665887	0.0026675048124674694	0.0027282081380061163	0.002120320469798598	0.004469030893970882	0	0.0	0	0	0.006457004355183926	0.006718837187011384	0.00659886053146419	0.008484243389403456	0.008274869178328093	0.008595156184860064	0.00862159170029686	0.010436348359576408	0.010622234885778958	0.011417886141926292	0.011659790351334798	0.013156567857709356	0.08449735145052317	0.08676672186561152	0.08822688764426867	0.08836871396957813	0.18105819879723517	0.17764595954724038	0.18065856509940936	0.18273738714725285	0.0018521498803846237	0.001584933455334725	0.000797576871117256	0.003390692554856911
moss_0.003_4	0.0033187619467307528	0.002508586903703036	0.002452252891525508	0.002097281161208664	0.003926839980920582	0	0	0.0	0	0.006046723768450724	0.0061937620629021195	0.006354723640811133	0.00773433433547599	0.00782172023577754	0.00809947028838598	0.008383660719631036	0.00974761053501072	0.01012501832971302	0.01081538636359336	0.011310682458122279	0.01236637469500057	0.08464265414429584	0.08651913596597971	0.08746432727455555	0.08816759930077289	0.17583167920572362	0.17500040263363248	0.17508028612837911	0.17720250430808682	0.001688157163063364	0.0013137290263049994	0.0007987498838103457	0.0028430933948581094
moss_0.003_8	0.004227619291997109	0.004888581325110053	0.004277073687289912	0.0034993884844807255	0.005652703852490726	0.0005803879289977276	0	0	0.0	0.008665888660493115	0.00834550172797599	0.008177309813495404	0.009786493059317558	0.01063042869608044	0.010476856225464903	0.010418145908847487	0.011941390066317115	0.013043746555300939	0.01345733775442659	0.013476801335889688	0.014811700248335113	0.0891070289655812	0.09118732159444676	0.09245986826327868	0.09279283488550627	0.18235900064671717	0.1844723767267349	0.18510158340704042	0.18717914078053632	0.003990277016436616	0.0030945356018152737	0.002093616554102229	0.004541800735523127
moss_0.005_1	0.005117602742330751	0.0036677782922237556	0.004151816215191784	0.0037484492893786747	0.006698311296311266	0.005630063088891246	0.006457004355183926	0.006046723768450724	0.008665888660493115	0.0	0	0	0.000618593872461437	0.008969161327709196	0.010171982428537452	0.010507902242873901	0.01276457584353663	0.011551374251097868	0.012990055699615088	0.01334494470280656	0.015362518890041255	0.08452941951328896	0.08665604404184957	0.08789803652506079	0.08802231512135883	0.17849721712301292	0.174886887490603	0.17826286679529635	0.17955126211423966	0.002706390156363314	0.003089831353226491	0.0024982509365842898	0.005563315133598756
