sample	GCA_010279815.1_ASM1027981v1_genomic	rotifer_0.001_1	rotifer_0.001_2	rotifer_0.001_4	rotifer_0.001_8	rotifer_0.003_1	rotifer_0.003_2	rotifer_0.003_4	rotifer_0.003_8	rotifer_0.005_1	rotifer_0.005_2	rotifer_0.005_4	rotifer_0.005_8	rotifer_0.007_1	rotifer_0.007_2	rotifer_0.007_4	rotifer_0.007_8	rotifer_0.01_1	rotifer_0.01_2	rotifer_0.01_4	rotifer_0.01_8	rotifer_0.1_1	rotifer_0.1_2	rotifer_0.1_4	rotifer_0.1_8	rotifer_0.2_1	rotifer_0.2_2	rotifer_0.2_4	rotifer_0.2_8	rotifer_genome_1	rotifer_genome_2	rotifer_genome_4	rotifer_genome_8
GCA_010279815.1_ASM1027981v1_genomic	0.0	0.000955984627100892	0.001058413815688497	0.001096830212962474	0.0012081375146805184	0.002929457152402337	0.0030574977344847154	0.0030828491128906954	0.0032394973098058832	0.004895937251674032	0.005025129383404381	0.005134915784589245	0.005291330505530545	0.0068553741723759165	0.006861397297282745	0.0070932315687916025	0.007253068228629145	0.00973919827073777	0.010087096560669084	0.010142935904260408	0.010369466882981349	0.09849159355204884	0.0984920716113038	0.09869251886964292	0.09913934860252471	0.19494709757908557	0.19463993643610578	0.1938887843641941	0.1934168065372962	0	0	0	0.00018015876455368396
rotifer_0.001_1	0.000955984627100892	0.0	0	0	0.00010640431570496656	0.003181298162054147	0.0037223897744209644	0.003560456035897386	0.0041306614395763	0.005212556450653105	0.00550825388358378	0.005545875741071349	0.006093562615344883	0.007332321657853913	0.007421031996504901	0.007487366341174306	0.008029288897511977	0.01010995082396371	0.010401265352571576	0.010504603148028036	0.010978633768108037	0.09707211492584877	0.09715133213526161	0.09730542499639983	0.0979211623876135	0.1944353029946373	0.19621967381510808	0.19236488425424492	0.19498862260113015	0.0004081553316978015	0.0007328741126262361	0.0005150943567354682	0.0011382759276993282
rotifer_0.001_2	0.001058413815688497	0	0.0	0	9.37299737235886e-05	0.003584050583545495	0.0037657335726221097	0.0035899514713202407	0.004080283882665459	0.005643210362413775	0.005754841102593833	0.005622782613153965	0.006112027834906386	0.0073536920307428755	0.007450087716271536	0.007642823188044989	0.008080541706899869	0.010309003847725373	0.010650948991998699	0.01061504170675398	0.01108283634840046	0.0977848383712111	0.09745509660012941	0.09772253486751215	0.09832932769838088	0.1939138689326707	0.19212420380534023	0.1891047028577103	0.18993215991318835	0.0007539094395311308	0.0008027689505499813	0.0006152462646720203	0.001134023521124461
rotifer_0.001_4	0.001096830212962474	0	0	0.0	1.8364459943853717e-05	0.0036102354086088306	0.0037400096957209694	0.0036642336959402666	0.004047940952227935	0.0056813088135563294	0.00562892612495236	0.005764973138739804	0.006070492627182511	0.007421596417370058	0.007436141687847897	0.007679197430304541	0.007942563071852038	0.010247605623535883	0.010487274796741497	0.010508790796680878	0.0109751770766362	0.09889197556853346	0.09770521432429413	0.09758529790175352	0.09869965718308404	0.19150202565127905	0.1939692910644808	0.19639621390891437	0.1934326908124535	0.0007786409292837027	0.0007221656593979775	0.0006990949933567414	0.0010774096286293444
rotifer_0.001_8	0.0012081375146805184	0.00010640431570496656	9.37299737235886e-05	1.8364459943853717e-05	0.0	0.004111564383646016	0.0041556493481282875	0.004054376198323162	0.004345808909516857	0.0060774909494133444	0.0061101486513230885	0.006109520543962743	0.00638843630676178	0.007969336937198368	0.007883571510384324	0.008037580987011128	0.008344589222739285	0.010890055733858262	0.011085644814524898	0.011102198216790038	0.011436461051725688	0.09979641600167077	0.09918110314523643	0.09954412194135842	0.10000181930929575	0.1962084052922708	0.19544436570221513	0.19449091136733843	0.194335388658196	0.001106917048256495	0.001088506224239616	0.0009330798012719965	0.0013142409861905957
rotifer_0.003_1	0.002929457152402337	0.003181298162054147	0.003584050583545495	0.0036102354086088306	0.004111564383646016	0.0	0	0	0.00017971463913257768	0.007140966351022127	0.007269579951574068	0.007423016216740019	0.008047081284808244	0.009154284307363647	0.009054709943218442	0.009287056815515782	0.009922357994299857	0.011697513199803056	0.012214585798183686	0.012372800817564422	0.012885931975778697	0.0976759593497265	0.09796591215849537	0.09762792693413946	0.09866257620330354	0.20289110273787547	0.19618942701213737	0.19498379516956332	0.19871867108247776	0.0021648967177673173	0.0025843319754700333	0.0023902890648356268	0.0031183624560585654
rotifer_0.003_2	0.0030574977344847154	0.0037223897744209644	0.0037657335726221097	0.0037400096957209694	0.0041556493481282875	0	0.0	0	0.00013809864481328926	0.007569997377371629	0.007819968702791558	0.0076276935673436075	0.00813824593417578	0.009610064887768277	0.009407105124184523	0.009658412077496514	0.010132728760108733	0.012084373619870359	0.012417151325693987	0.012451220961451015	0.013025494580793162	0.100079929154541	0.09885713148973996	0.09906663473933486	0.09938574590101001	0.2010809210903518	0.2009947774124664	0.19508162846889665	0.19711005082365451	0.002734681937203054	0.002709907126473121	0.002606122025679558	0.0031346183363359925
rotifer_0.003_4	0.0030828491128906954	0.003560456035897386	0.0035899514713202407	0.0036642336959402666	0.004054376198323162	0	0	0.0	0	0.007570786876633706	0.0076202799204049265	0.007587461692349806	0.007981925852196481	0.00933698910108649	0.009344424243419303	0.00949648841925077	0.009927048033919195	0.011963160666288108	0.012261828513178474	0.012374260724173136	0.012845858184963643	0.09973535793084687	0.09886255016645717	0.09889813037204853	0.09984666363287797	0.18989943347720506	0.19328849908932977	0.19362098632603908	0.19088359585169234	0.002682693181650264	0.0026357568829946665	0.0025720090021114084	0.0030520044053594653
rotifer_0.003_8	0.0032394973098058832	0.0041306614395763	0.004080283882665459	0.004047940952227935	0.004345808909516857	0.00017971463913257768	0.00013809864481328926	0	0.0	0.008059230359707903	0.00808192109987449	0.008040556007985145	0.008367178909995387	0.010012334125083733	0.009813993863394987	0.009960291831155765	0.010334635570167339	0.012802584822245944	0.013010248040149941	0.012988650224135978	0.01341185839527459	0.10065585398196042	0.10036614382260078	0.1005718567797963	0.10096909675536458	0.19852709400870983	0.197914978526195	0.1956233047042476	0.19566840830041599	0.0031667097865210048	0.003122780115984103	0.002875611705022818	0.003348021291942671
rotifer_0.005_1	0.004895937251674032	0.005212556450653105	0.005643210362413775	0.0056813088135563294	0.0060774909494133444	0.007140966351022127	0.007569997377371629	0.007570786876633706	0.008059230359707903	0.0	0	0	0.00018983542293993239	0.011127178963269757	0.011220499930920114	0.011421296465136788	0.011928704527226497	0.013803275443875052	0.014703772224251677	0.014515218127816865	0.015114467704841483	0.10030946591433698	0.09932679542428557	0.09911113975535202	0.10012536759291912	0.1977092384987147	0.19817648900458018	0.19070194432129584	0.19566433065880817	0.004116920795804946	0.004616133819974388	0.004503816126310678	0.005058891945900479
