sample	GCA_003864495.1_NemNom1.0_genomic	nematode_0.001_1	nematode_0.001_2	nematode_0.001_4	nematode_0.001_8	nematode_0.003_1	nematode_0.003_2	nematode_0.003_4	nematode_0.003_8	nematode_0.005_1	nematode_0.005_2	nematode_0.005_4	nematode_0.005_8	nematode_0.007_1	nematode_0.007_2	nematode_0.007_4	nematode_0.007_8	nematode_0.01_1	nematode_0.01_2	nematode_0.01_4	nematode_0.01_8	nematode_0.1_1	nematode_0.1_2	nematode_0.1_4	nematode_0.1_8	nematode_0.2_1	nematode_0.2_2	nematode_0.2_4	nematode_0.2_8	nematode_genome_1	nematode_genome_2	nematode_genome_4	nematode_genome_8
GCA_003864495.1_NemNom1.0_genomic	0.0	0.0011697460468144127	0.0009812400893912665	0.0008057110536746626	0.00136725739109822	0.0028896464127118326	0.0030081501737794225	0.003053489536421816	0.003411644198475172	0.0047339471765053265	0.004940919397800503	0.005076064254169843	0.005403554334735938	0.0068841495294406085	0.007245451979072781	0.007284779574474931	0.007541163359972569	0.009816817867237981	0.010045889973667177	0.010389120510155392	0.010555015935227119	0.09558940680760653	0.09756415207873859	0.09742078505928708	0.09754608888592742	0.18821259837381576	0.19641345874423255	0.1938888739061998	0.19425626261799234	8.054765583342949e-05	0	0	0.0003071460502552803
nematode_0.001_1	0.0011697460468144127	0.0	0	0	0.0005090460055992008	0.002909722000573045	0.0034525223640200497	0.0033084712001327787	0.004366820950830519	0.004880212866766209	0.005139305567967156	0.005276445828330867	0.0063159837626615145	0.006905502342177461	0.007283745260317276	0.007400015594303921	0.008277488412370193	0.009678743227517494	0.010175369446609128	0.01038770072429962	0.011099120380153815	0.09221293055346091	0.09436554087327709	0.09418603599638631	0.09434259669842027	0.18254823775707119	0.18768283187068824	0.1895346248940385	0.18854668004888453	0.00044029975108239583	0.0003029092910497022	2.5941851834465623e-05	0.001482895493287173
nematode_0.001_2	0.0009812400893912665	0	0.0	0	5.825445114393535e-05	0.003110001805371021	0.0031993524611002577	0.0031573189373916843	0.004060454258760227	0.004996399328619283	0.004994513335432993	0.005102486555396246	0.005904048981410948	0.006988158209433659	0.00716848835745254	0.007238446326542469	0.00789877189716226	0.009723585305613347	0.009954499067783451	0.010233805888211656	0.010848602061035106	0.09195374577197402	0.09412152218488767	0.09448376981024165	0.0949095236805424	0.18817997243246987	0.19414614952355924	0.19278973540121191	0.19286280590721805	0.00039765149011627976	0.00024961774655729574	0	0.001086102928107957
nematode_0.001_4	0.0008057110536746626	0	0	0.0	0	0.0028526674729881796	0.002994209594398556	0.0030612014446614877	0.0036464583318698285	0.0045360315232485515	0.004744302330077721	0.004910726690266709	0.005518877922630838	0.006778901526296899	0.006864921409368674	0.006987054838451412	0.007516078426563544	0.009449503276992566	0.009671927617491693	0.010034151146624315	0.010424054529050153	0.09131928849230286	0.09350912006405165	0.09237524630422833	0.09363200319129827	0.17938670072491647	0.18699989915677784	0.18554461160259772	0.18615945955554603	0.0002055244620139396	5.2156171419848185e-05	0	0.0006582890020925269
nematode_0.001_8	0.00136725739109822	0.0005090460055992008	5.825445114393535e-05	0	0.0	0.004193700554030677	0.004067910172592115	0.0039050062201383406	0.00458276683767056	0.005872703221109332	0.005995256249690217	0.005852191088037473	0.006531827243789867	0.008121764938150089	0.00823788391937974	0.008067632899298904	0.008636336224870811	0.010934388100671932	0.010981508739421275	0.01110953338563736	0.011613683274067754	0.09476832554696035	0.09688198974566253	0.09641697604042221	0.09693911861935822	0.1865145161987366	0.19268516617569686	0.19084627983688907	0.19187064171425738	0.001365637611542847	0.0010603753832491014	0.0005832291492635644	0.0015314854908896613
nematode_0.003_1	0.0028896464127118326	0.002909722000573045	0.003110001805371021	0.0028526674729881796	0.004193700554030677	0.0	0	0	0.00027220646516945557	0.006481052455579062	0.00704508700917994	0.00694172365766732	0.008067510717432058	0.008283244100986131	0.009126836404049654	0.00909099893213361	0.010002669550182475	0.01156142221931622	0.011756806276593479	0.011907579464414009	0.012854730239070689	0.09310450541795845	0.09498447033741264	0.09465526688497539	0.09544315024866323	0.18119762527061878	0.1913149168317494	0.19182332662136192	0.19197793871150282	0.001989480066960869	0.002119977847413801	0.0017787134715948616	0.0031917804648923243
nematode_0.003_2	0.0030081501737794225	0.0034525223640200497	0.0031993524611002577	0.002994209594398556	0.004067910172592115	0	0.0	0	5.5069872852975266e-05	0.006808247106929177	0.0069809637199304	0.007026016382727929	0.00791428065578259	0.009043630804706604	0.009167682377095865	0.00919285553707061	0.0099192572443908	0.011764287473015389	0.012063809155126393	0.012163101695758072	0.012872842996012879	0.09331317769387115	0.09509622470109569	0.09457960649386055	0.0955749211744662	0.18612480907079154	0.19205173329458913	0.190856923512568	0.1913290622254733	0.0023876999755318984	0.0022059465528628808	0.0019285962778458066	0.0030493834491645
nematode_0.003_4	0.003053489536421816	0.0033084712001327787	0.0031573189373916843	0.0030612014446614877	0.0039050062201383406	0	0	0.0	0	0.006654637756934312	0.006923227885808014	0.006951797330876253	0.007758765254607836	0.008950918804999208	0.009006930395275892	0.009029932213566738	0.009673959248789443	0.011627053192450942	0.011777722503040877	0.011936455400735735	0.012531607970225678	0.09296104845186737	0.09495537377537566	0.09417336228032724	0.09502792204961186	0.1836692155251045	0.19076534631554165	0.1918622879902273	0.19137773266565328	0.002361428954526845	0.0021226189150160835	0.0018946072932694014	0.0028960755984704933
nematode_0.003_8	0.003411644198475172	0.004366820950830519	0.004060454258760227	0.0036464583318698285	0.00458276683767056	0.00027220646516945557	5.5069872852975266e-05	0	0.0	0.007835293469635074	0.007888939587939126	0.00777089654619012	0.00852388644598534	0.010038713170692826	0.010150672288727902	0.009952054414019917	0.010584804427898886	0.012876396954808689	0.012899456032922307	0.012943952915752788	0.013596093002748444	0.09592849120975444	0.09756588463276394	0.097276781409813	0.0979711894701506	0.1891999729620749	0.19668628597541404	0.19502830039849595	0.1952283484264522	0.003422415983103888	0.0029978764646152456	0.002528660362274393	0.0035568036387345625
nematode_0.005_1	0.0047339471765053265	0.004880212866766209	0.004996399328619283	0.0045360315232485515	0.005872703221109332	0.006481052455579062	0.006808247106929177	0.006654637756934312	0.007835293469635074	0.0	0	0	0.0002421067540778754	0.01037634793265485	0.010823583534913861	0.010780114612236491	0.011873781660363902	0.012950161073450595	0.013535790381200341	0.013578517551738556	0.01466997218520294	0.09466806755142299	0.09622784990791011	0.0960155358084076	0.0967623867240256	0.1866757987827885	0.19124049970634704	0.19343416392101886	0.1912902166312127	0.003757710041381479	0.0038939822749429753	0.0034830938721120974	0.0049825370135095914
