run_accession	fastq_galaxy	sample_accession	sample_alias
ERR9709105	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709105/ERR9709105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709105/ERR9709105_2.fastq.gz	SAMEA14369570	BAL_22_HER004b
ERR9709118	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709118/ERR9709118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709118/ERR9709118_2.fastq.gz	SAMEA14369583	BAL_22_HER007c
ERR9709122	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709122/ERR9709122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709122/ERR9709122_2.fastq.gz	SAMEA14369587	BAL_22_HER008c
ERR9709241	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709241/ERR9709241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709241/ERR9709241_2.fastq.gz	SAMEA14369707	BAL_22_M-HER053
ERR9709245	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709245/ERR9709245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709245/ERR9709245_2.fastq.gz	SAMEA14369711	BAL_22_M-HER057
ERR9709247	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709247/ERR9709247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709247/ERR9709247_2.fastq.gz	SAMEA14369713	BAL_22_M-HER059
ERR9709248	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709248/ERR9709248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709248/ERR9709248_2.fastq.gz	SAMEA14369714	BAL_22_M-HER061
ERR9709250	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709250/ERR9709250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709250/ERR9709250_2.fastq.gz	SAMEA14369716	BAL_22_M-HER063
ERR9709251	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709251/ERR9709251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709251/ERR9709251_2.fastq.gz	SAMEA14369717	BAL_22_M-HER064
ERR9709252	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709252/ERR9709252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709252/ERR9709252_2.fastq.gz	SAMEA14369718	BAL_22_M-HER065
ERR9709124	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709124/ERR9709124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709124/ERR9709124_2.fastq.gz	SAMEA14369589	BAL_22_HER009a
ERR9709125	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709125/ERR9709125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709125/ERR9709125_2.fastq.gz	SAMEA14369590	BAL_22_HER009b
ERR9709126	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709126/ERR9709126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709126/ERR9709126_2.fastq.gz	SAMEA14369591	BAL_22_HER009c
ERR9709127	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709127/ERR9709127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709127/ERR9709127_2.fastq.gz	SAMEA14369592	BAL_22_HER009d
ERR9709130	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709130/ERR9709130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709130/ERR9709130_2.fastq.gz	SAMEA14369595	BAL_22_HER036b
ERR9709134	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709134/ERR9709134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709134/ERR9709134_2.fastq.gz	SAMEA14369599	BAL_22_HER037b
ERR9709136	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709136/ERR9709136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709136/ERR9709136_2.fastq.gz	SAMEA14369601	BAL_22_HER038b
ERR9709140	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709140/ERR9709140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709140/ERR9709140_2.fastq.gz	SAMEA14369605	BAL_22_HER038f
ERR9709142	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709142/ERR9709142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709142/ERR9709142_2.fastq.gz	SAMEA14369607	BAL_22_HER039b
ERR9709147	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709147/ERR9709147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709147/ERR9709147_2.fastq.gz	SAMEA14369612	BAL_22_HER041a
ERR9709149	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709149/ERR9709149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709149/ERR9709149_2.fastq.gz	SAMEA14369614	BAL_22_HER042a
ERR9709155	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709155/ERR9709155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709155/ERR9709155_2.fastq.gz	SAMEA14369620	BAL_22_HER045a
ERR9709158	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709158/ERR9709158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709158/ERR9709158_2.fastq.gz	SAMEA14369623	BAL_22_HER045d
ERR9709167	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709167/ERR9709167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709167/ERR9709167_2.fastq.gz	SAMEA14369632	BAL_22_HER048
ERR9709172	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709172/ERR9709172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709172/ERR9709172_2.fastq.gz	SAMEA14369637	BAL_22_HER052a
ERR9709173	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709173/ERR9709173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709173/ERR9709173_2.fastq.gz	SAMEA14369638	BAL_22_HER052b
ERR9709174	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709174/ERR9709174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709174/ERR9709174_2.fastq.gz	SAMEA14369639	BAL_22_HER054
ERR9709177	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709177/ERR9709177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709177/ERR9709177_2.fastq.gz	SAMEA14369642	BAL_22_HER056a
ERR9709178	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709178/ERR9709178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709178/ERR9709178_2.fastq.gz	SAMEA14369643	BAL_22_HER056b
ERR9709180	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709180/ERR9709180_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709180/ERR9709180_2.fastq.gz	SAMEA14369645	BAL_22_HER056d
ERR9709184	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709184/ERR9709184_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709184/ERR9709184_2.fastq.gz	SAMEA14369649	BAL_22_HER059a
ERR9709187	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709187/ERR9709187_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709187/ERR9709187_2.fastq.gz	SAMEA14369652	BAL_22_HER110a
ERR9709189	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709189/ERR9709189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709189/ERR9709189_2.fastq.gz	SAMEA14369654	BAL_22_HER111
ERR9709190	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709190/ERR9709190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709190/ERR9709190_2.fastq.gz	SAMEA14369655	BAL_22_HER112a
ERR9709191	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709191/ERR9709191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709191/ERR9709191_2.fastq.gz	SAMEA14369656	BAL_22_HER112b
ERR9709194	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709194/ERR9709194_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709194/ERR9709194_2.fastq.gz	SAMEA14369659	BAL_22_HER115
ERR9709195	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709195/ERR9709195_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709195/ERR9709195_2.fastq.gz	SAMEA14369660	BAL_22_HER116
ERR9709196	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709196/ERR9709196_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709196/ERR9709196_2.fastq.gz	SAMEA14369661	BAL_22_HER117
ERR9709198	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709198/ERR9709198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709198/ERR9709198_2.fastq.gz	SAMEA14369663	BAL_22_HER118b
ERR9709199	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709199/ERR9709199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709199/ERR9709199_2.fastq.gz	SAMEA14369664	BAL_22_HER118c
ERR9709203	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709203/ERR9709203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709203/ERR9709203_2.fastq.gz	SAMEA14369669	BAL_22_M-HER002
ERR9709204	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709204/ERR9709204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709204/ERR9709204_2.fastq.gz	SAMEA14369670	BAL_22_M-HER003
ERR9709208	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709208/ERR9709208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709208/ERR9709208_2.fastq.gz	SAMEA14369674	BAL_22_M-HER008
ERR9709209	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709209/ERR9709209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709209/ERR9709209_2.fastq.gz	SAMEA14369675	BAL_22_M-HER009
ERR9709211	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709211/ERR9709211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709211/ERR9709211_2.fastq.gz	SAMEA14369677	BAL_22_M-HER011
ERR9709214	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709214/ERR9709214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709214/ERR9709214_2.fastq.gz	SAMEA14369680	BAL_22_M-HER014
ERR9709217	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709217/ERR9709217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709217/ERR9709217_2.fastq.gz	SAMEA14369683	BAL_22_M-HER017
ERR9709218	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709218/ERR9709218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709218/ERR9709218_2.fastq.gz	SAMEA14369684	BAL_22_M-HER018
ERR9709219	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709219/ERR9709219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709219/ERR9709219_2.fastq.gz	SAMEA14369685	BAL_22_M-HER019
ERR9709223	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709223/ERR9709223_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709223/ERR9709223_2.fastq.gz	SAMEA14369689	BAL_22_M-HER023
ERR9709228	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709228/ERR9709228_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709228/ERR9709228_2.fastq.gz	SAMEA14369694	BAL_22_M-HER028
ERR9709232	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709232/ERR9709232_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709232/ERR9709232_2.fastq.gz	SAMEA14369698	BAL_22_M-HER035
ERR9709234	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709234/ERR9709234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709234/ERR9709234_2.fastq.gz	SAMEA14369700	BAL_22_M-HER037
ERR9709235	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709235/ERR9709235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709235/ERR9709235_2.fastq.gz	SAMEA14369701	BAL_22_M-HER038
ERR9709237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709237/ERR9709237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709237/ERR9709237_2.fastq.gz	SAMEA14369703	BAL_22_M-HER044
ERR9709238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709238/ERR9709238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709238/ERR9709238_2.fastq.gz	SAMEA14369704	BAL_22_M-HER045
ERR9709240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709240/ERR9709240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709240/ERR9709240_2.fastq.gz	SAMEA14369706	BAL_22_M-HER052
ERR9709243	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709243/ERR9709243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709243/ERR9709243_2.fastq.gz	SAMEA14369709	BAL_22_M-HER055
ERR9709244	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709244/ERR9709244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709244/ERR9709244_2.fastq.gz	SAMEA14369710	BAL_22_M-HER056
ERR9709249	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709249/ERR9709249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709249/ERR9709249_2.fastq.gz	SAMEA14369715	BAL_22_M-HER062
ERR9709253	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709253/ERR9709253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709253/ERR9709253_2.fastq.gz	SAMEA14369719	BAL_22_M-HER066
