run_accession	fastq_galaxy	sample_accession	sample_alias
ERR9709159	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709159/ERR9709159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709159/ERR9709159_2.fastq.gz	SAMEA14369624	BAL_22_HER046a
ERR9709160	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709160/ERR9709160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709160/ERR9709160_2.fastq.gz	SAMEA14369625	BAL_22_HER046b
ERR9709166	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709166/ERR9709166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709166/ERR9709166_2.fastq.gz	SAMEA14369631	BAL_22_HER047e
ERR9709171	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709171/ERR9709171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709171/ERR9709171_2.fastq.gz	SAMEA14369636	BAL_22_HER051c
ERR9709175	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709175/ERR9709175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709175/ERR9709175_2.fastq.gz	SAMEA14369640	BAL_22_HER055a
ERR9709182	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709182/ERR9709182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709182/ERR9709182_2.fastq.gz	SAMEA14369647	BAL_22_HER057a
ERR9709183	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709183/ERR9709183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709183/ERR9709183_2.fastq.gz	SAMEA14369648	BAL_22_HER057b
ERR9709185	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709185/ERR9709185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709185/ERR9709185_2.fastq.gz	SAMEA14369650	BAL_22_HER059b
ERR9709188	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709188/ERR9709188_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709188/ERR9709188_2.fastq.gz	SAMEA14369653	BAL_22_HER110b
ERR9709192	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709192/ERR9709192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709192/ERR9709192_2.fastq.gz	SAMEA14369657	BAL_22_HER113
ERR9709193	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709193/ERR9709193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709193/ERR9709193_2.fastq.gz	SAMEA14369658	BAL_22_HER114
ERR9709200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709200/ERR9709200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709200/ERR9709200_2.fastq.gz	SAMEA14369665	BAL_22_HER118d
ERR9709202	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709202/ERR9709202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709202/ERR9709202_2.fastq.gz	SAMEA14369667	BAL_22_M-HER001
ERR9709205	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709205/ERR9709205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709205/ERR9709205_2.fastq.gz	SAMEA14369671	BAL_22_M-HER005
ERR9709207	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709207/ERR9709207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709207/ERR9709207_2.fastq.gz	SAMEA14369673	BAL_22_M-HER007
ERR9709212	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709212/ERR9709212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709212/ERR9709212_2.fastq.gz	SAMEA14369678	BAL_22_M-HER012
ERR9709216	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709216/ERR9709216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709216/ERR9709216_2.fastq.gz	SAMEA14369682	BAL_22_M-HER016
ERR9709220	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709220/ERR9709220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709220/ERR9709220_2.fastq.gz	SAMEA14369686	BAL_22_M-HER020
ERR9709222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709222/ERR9709222_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709222/ERR9709222_2.fastq.gz	SAMEA14369688	BAL_22_M-HER022
ERR9709224	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709224/ERR9709224_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709224/ERR9709224_2.fastq.gz	SAMEA14369690	BAL_22_M-HER024
ERR9709225	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709225/ERR9709225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709225/ERR9709225_2.fastq.gz	SAMEA14369691	BAL_22_M-HER025
ERR9709230	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709230/ERR9709230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709230/ERR9709230_2.fastq.gz	SAMEA14369696	BAL_22_M-HER030
ERR9709236	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709236/ERR9709236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709236/ERR9709236_2.fastq.gz	SAMEA14369702	BAL_22_M-HER039
ERR9709242	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709242/ERR9709242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709242/ERR9709242_2.fastq.gz	SAMEA14369708	BAL_22_M-HER054
ERR9709246	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709246/ERR9709246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709246/ERR9709246_2.fastq.gz	SAMEA14369712	BAL_22_M-HER058
ERR9709092	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709092/ERR9709092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709092/ERR9709092_2.fastq.gz	SAMEA14369557	BAL_22_HER001a
ERR9709093	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709093/ERR9709093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709093/ERR9709093_2.fastq.gz	SAMEA14369558	BAL_22_HER001b
ERR9709099	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709099/ERR9709099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709099/ERR9709099_2.fastq.gz	SAMEA14369564	BAL_22_HER003a
ERR9709100	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709100/ERR9709100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/000/ERR9709100/ERR9709100_2.fastq.gz	SAMEA14369565	BAL_22_HER003b
ERR9709101	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709101/ERR9709101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709101/ERR9709101_2.fastq.gz	SAMEA14369566	BAL_22_HER003c
ERR9709103	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709103/ERR9709103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709103/ERR9709103_2.fastq.gz	SAMEA14369568	BAL_22_HER003e
ERR9709107	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709107/ERR9709107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709107/ERR9709107_2.fastq.gz	SAMEA14369572	BAL_22_HER004d
ERR9709108	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709108/ERR9709108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/008/ERR9709108/ERR9709108_2.fastq.gz	SAMEA14369573	BAL_22_HER004e
ERR9709109	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709109/ERR9709109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709109/ERR9709109_2.fastq.gz	SAMEA14369574	BAL_22_HER005a
ERR9709114	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709114/ERR9709114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709114/ERR9709114_2.fastq.gz	SAMEA14369579	BAL_22_HER006b
ERR9709115	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709115/ERR9709115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709115/ERR9709115_2.fastq.gz	SAMEA14369580	BAL_22_HER006c
ERR9709117	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709117/ERR9709117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709117/ERR9709117_2.fastq.gz	SAMEA14369582	BAL_22_HER007b
ERR9709119	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709119/ERR9709119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709119/ERR9709119_2.fastq.gz	SAMEA14369584	BAL_22_HER007d
ERR9709121	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709121/ERR9709121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709121/ERR9709121_2.fastq.gz	SAMEA14369586	BAL_22_HER008b
ERR9709123	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709123/ERR9709123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/003/ERR9709123/ERR9709123_2.fastq.gz	SAMEA14369588	BAL_22_HER008d
ERR9709129	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709129/ERR9709129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/009/ERR9709129/ERR9709129_2.fastq.gz	SAMEA14369594	BAL_22_HER036a
ERR9709132	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709132/ERR9709132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/002/ERR9709132/ERR9709132_2.fastq.gz	SAMEA14369597	BAL_22_HER036d
ERR9709135	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709135/ERR9709135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709135/ERR9709135_2.fastq.gz	SAMEA14369600	BAL_22_HER038a
ERR9709137	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709137/ERR9709137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/007/ERR9709137/ERR9709137_2.fastq.gz	SAMEA14369602	BAL_22_HER038c
ERR9709141	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709141/ERR9709141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/001/ERR9709141/ERR9709141_2.fastq.gz	SAMEA14369606	BAL_22_HER039a
ERR9709144	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709144/ERR9709144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/004/ERR9709144/ERR9709144_2.fastq.gz	SAMEA14369609	BAL_22_HER039d
ERR9709145	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709145/ERR9709145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/005/ERR9709145/ERR9709145_2.fastq.gz	SAMEA14369610	BAL_22_HER039e
ERR9709146	ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709146/ERR9709146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR970/006/ERR9709146/ERR9709146_2.fastq.gz	SAMEA14369611	BAL_22_HER040
