sample	unclassified-kra_ERR9709134_	unclassified-kra_ERR9709153_	unclassified-kra_ERR9709203_	unclassified-kra_ERR9709204_	unclassified-kra_ERR9709208_	unclassified-kra_ERR9709209_	unclassified-kra_ERR9709210_	unclassified-kra_ERR9709211_	unclassified-kra_ERR9709214_	unclassified-kra_ERR9709217_	unclassified-kra_ERR9709218_	unclassified-kra_ERR9709219_	unclassified-kra_ERR9709223_	unclassified-kra_ERR9709228_	unclassified-kra_ERR9709234_	unclassified-kra_ERR9709235_	unclassified-kra_ERR9709236_	unclassified-kra_ERR9709238_	unclassified-kra_ERR9709240_	unclassified-kra_ERR9709242_	unclassified-kra_ERR9709243_	unclassified-kra_ERR9709244_	unclassified-kra_ERR9709245_	unclassified-kra_ERR9709248_	unclassified-kra_ERR9709249_	unclassified-kra_ERR9709253_	unclassified-kra_SRR12106874_	unclassified-kra_SRR12106875_	unclassified-kra_SRR12106878_	unclassified-kra_SRR12106882_	unclassified-kra_SRR12106899_	unclassified-kra_SRR12106930_	unclassified-kra_SRR12106934_	unclassified-kra_SRR12106937_	unclassified-kra_SRR12106945_	unclassified-kra_SRR12106949_	unclassified-kra_SRR12106953_	unclassified-kra_SRR12106955_	unclassified-kra_SRR12106956_
unclassified-kra_ERR9709134_	0.0	0.026213848178131674	0.0803037244809786	0.08505855482321698	0.08503410042311584	0.08552505745032804	0.08531925631187025	0.08490683274112343	0.08528776155597893	0.08580937880624193	0.08588259866419959	0.08563728974334209	0.08096206129969022	0.08557486530917176	0.08527627136704444	0.08511978670717361	0.08515373175386767	0.08500511933859926	0.08565266459463423	0.08577709980682476	0.08587162240840547	0.08541658765566365	0.08565516644185162	0.08565844540089178	0.08495013411611128	0.0849461009576668	0.08175604423551694	0.08162234351347923	0.08291841135393124	0.07848890223623667	0.09033873756883912	0.08498638799455785	0.0852864969570751	0.08539036068337238	0.085326648311107	0.08516923342322927	0.08451711158783295	0.0815023115601419	0.08140601018592496
unclassified-kra_ERR9709153_	0.026213848178131674	0.0	0.03570718939055108	0.040642260798659256	0.04080445941810046	0.041535273520024216	0.041341529423291924	0.04074404802470076	0.0409414937321981	0.041723038496360526	0.04154548793981863	0.041398440512642035	0.035747753433366516	0.04141366971226438	0.04125264136419927	0.04120691179524871	0.04086330982054965	0.04144533620016494	0.04130124497342391	0.04169825163190964	0.04166483063153339	0.041221194860440215	0.04167959982075772	0.0417709315828824	0.0410810360677866	0.040971410217175694	0.038204503090653624	0.03811038311541901	0.038509888192082814	0.03467727191017903	0.045835058138661386	0.04045561963626754	0.0404794482667466	0.04112731624796305	0.041026608811230686	0.04112116342426557	0.04042461865447742	0.038302335810160515	0.03833666725588371
unclassified-kra_ERR9709203_	0.0803037244809786	0.03570718939055108	0.0	0.002445598558560163	0.0028163347753676826	0.0031306758664766936	0.002962625060968958	0.002743816039043484	0.0030326272584184286	0.0032111575354792877	0.003087153551970761	0.0028436598280004092	0	0.0031036486203800374	0.0030122226219288254	0.003109875261705438	0.003080463842175869	0.003066593328548312	0.003162179519765498	0.003296361720530786	0.0032432194297961404	0.003138739413820868	0.0030452247099866906	0.0032780795951985204	0.0031569687403547016	0.002795863015942769	0	0	0	0	0.007978164716791396	0.002046352689661369	0.0020942637036996713	0.002816451829397902	0.003049286460097686	0.0032213042301760205	0.0019572275476238375	0	0
unclassified-kra_ERR9709204_	0.08505855482321698	0.040642260798659256	0.002445598558560163	0.0	0.005886986524865035	0.006074961735818828	0.005948706027067208	0.005851122065360148	0.006035180802303156	0.006178468591512009	0.006088862257520559	0.005935474453492854	0.0032571671956695943	0.006158635669734653	0.0059545416765634	0.006054726065795107	0.0060651881060678325	0.005954940486981546	0.006113491797604233	0.006230838427959179	0.006232341817504404	0.0061451646109147075	0.006086015865643236	0.006211368226042088	0.006072961181728988	0.005846431762171441	0.0020962322569730452	0.002061082059889378	0.0027677106757310922	0	0.010919503871350312	0.005308401358870259	0.005396025040573276	0.00595515020788173	0.006142633623721526	0.00603279268628742	0.00532201601050959	0.0013387173397592534	0.0012518072150321015
unclassified-kra_ERR9709208_	0.08503410042311584	0.04080445941810046	0.0028163347753676826	0.005886986524865035	0.0	0.006265943273556387	0.006136658457805434	0.006140934084998005	0.006272179265550789	0.006342037333337553	0.006257072194530511	0.0060874949056940846	0.00373772191761631	0.006275715641219894	0.006140603593414177	0.006293718378498632	0.0063282011603198966	0.006200928575813881	0.006268739180828958	0.006307263761403415	0.006362925291161132	0.006280991503455052	0.006219262432218491	0.00637918894306128	0.00633188048718096	0.006127125784664239	0.0020821426505491856	0.0019141024225842872	0.0027513505589084183	0	0.01107035266024044	0.00557866365574247	0.005610648690005692	0.006184566598565701	0.006337894412608151	0.006298160407929134	0.005508358057041535	0.001111826688324247	0.0010452145286795448
unclassified-kra_ERR9709209_	0.08552505745032804	0.041535273520024216	0.0031306758664766936	0.006074961735818828	0.006265943273556387	0.0	0.006206836569782887	0.006302444231237964	0.0063362442153831276	0.006244827435222121	0.006286103082641538	0.006109257870972144	0.0040555495976487685	0.00624074483654845	0.006141429757095864	0.006285719722928199	0.006333517284610412	0.006153560318888893	0.006258420579272761	0.006327179151586385	0.006298398927287729	0.006297412085606495	0.006248519323921098	0.0061743999095743105	0.006370092708868267	0.006256081300137821	0.001842337251387838	0.0016922213468073526	0.0026620633099937382	0	0.010976002113285147	0.0055490075637031795	0.005638633133700185	0.0061557548034751886	0.006415101161373355	0.006335557985942551	0.005619783519164728	0.0010764408831642274	0.0010423283850977117
unclassified-kra_ERR9709210_	0.08531925631187025	0.041341529423291924	0.002962625060968958	0.005948706027067208	0.006136658457805434	0.006206836569782887	0.0	0.006184342276425401	0.006295858584107051	0.006319027311694208	0.0062755102648035955	0.00608873049777169	0.0037312361135138786	0.0063175006567115916	0.0061481835606047	0.0062326591009896236	0.006346574525670851	0.006180621250873262	0.006272960313709387	0.006300014636969737	0.006346495696213723	0.006259257363993034	0.0062600579727848625	0.006301672980769175	0.006379434257754637	0.006198344939229172	0.0021960319002172785	0.002016262390992313	0.0028825822583569863	0	0.010977727453386567	0.00554041173954778	0.005607536240411437	0.006187207089651454	0.006347920382968018	0.006276155728915841	0.005531682002274535	0.0013303903020849806	0.0012246495670456587
unclassified-kra_ERR9709211_	0.08490683274112343	0.04074404802470076	0.002743816039043484	0.005851122065360148	0.006140934084998005	0.006302444231237964	0.006184342276425401	0.0	0.006239484444965516	0.006453118136241113	0.006329675127865894	0.006198654509828597	0.0036008579670303124	0.006321107436451772	0.006220615125484379	0.006289612346815814	0.0063225917304202415	0.00625053412318771	0.006333549983986533	0.006408145256230137	0.00643155690666861	0.006340957335508926	0.006343174976239701	0.006371733865040542	0.00632935704564002	0.006126536647560656	0.002229852486454369	0.002158028680553144	0.002927988195019593	0	0.011138027813207056	0.00553964985091091	0.005580509868865197	0.006209967490477347	0.006349382292872906	0.006248455280763629	0.005472451903404999	0.001442665798945121	0.0013924119153929694
unclassified-kra_ERR9709214_	0.08528776155597893	0.0409414937321981	0.0030326272584184286	0.006035180802303156	0.006272179265550789	0.0063362442153831276	0.006295858584107051	0.006239484444965516	0.0	0.006506253449430222	0.006394000930768426	0.006294334778710005	0.003694604197505531	0.006415890002837555	0.006191980967229496	0.0063221222916404075	0.006318770393569842	0.0062280267131064534	0.006372672243660269	0.006484264992775338	0.00652624185879493	0.006364244571781691	0.0064264913770598585	0.006435186181772809	0.006343710225103509	0.006172467939395899	0.002078328341193415	0.0019482940870515233	0.0028076901722714014	0	0.011147393011210982	0.005768866582124241	0.005797753290196531	0.006329315460490204	0.006471044809364971	0.006321010456178493	0.005779815830344816	0.0012786904818489664	0.0012203905180882897
unclassified-kra_ERR9709217_	0.08580937880624193	0.041723038496360526	0.0032111575354792877	0.006178468591512009	0.006342037333337553	0.006244827435222121	0.006319027311694208	0.006453118136241113	0.006506253449430222	0.0	0.00613842838623156	0.006049037094922569	0.004173695640131041	0.006349187675033945	0.006269986777947885	0.0063667349317037955	0.006559644477854003	0.006293425469163286	0.00628312283173172	0.0062067836217406915	0.006214994313378847	0.00623618811889972	0.0061581736590335286	0.0062676420445053	0.006535624868585142	0.006384174495052087	0.0019536724969315797	0.001865501579683963	0.0026763619331936573	0	0.011031027038329325	0.005619231497933542	0.005623861508250757	0.006217585751259741	0.006514866819071609	0.006399918218703544	0.005572966467129405	0.0011986630290402442	0.001132797943030752
